Artist,Album,Webhook,Artwork
Daft Punk,Discovery,spotify:album:2noRn2Aes5aoNVsU6iWThc,discovery.jpeg
Daft Punk,Random Access Memories,spotify:album:4m2880jivSbbyEGAKfITCa,random-access.jpeg
Daft Punk,Human After All,spotify:album:2T7DdrOvsqOqU9bGTkjBYu,human-after-all.jpeg
Daft Punk,TRON: Legacy,spotify:album:3AMXFnwHWXCvNr5NCCpLZI,tron.jpeg
Daft Punk,Homework,spotify:album:5uRdvUR7xCnHmUW8n64n9y,homework.jpeg
Daft Punk,Alive,spotify:album:7u6zL7kqpgLPISZYXNTgYk,alive.jpeg
Porter Robinson,Nurture,spotify:album:4Hjqdhj5rh816i1dfcUEaM,nurture.jpeg
Porter Robinson,Worlds,spotify:album:7AJPV0L05IyIBid97AvwVD,worlds.jpeg
Porter Robinson,Spitfire,spotify:album:1PUPPk8ahNbNLSDuLzA1jB,spitfire.jpeg
Porter Robinson,Shelter,spotify:track:2CgOd0Lj5MuvOqzqdaAXtS,shelter.jpeg
Porter Robinson,cherished music,spotify:user:spotify:playlist:1H163taKSeBERTtCu3R7bp,porter-robinson--cherished-music.jpeg
Madeon,Adventure,spotify:album:3uKLwDjku2Us0c81LEmftR,adventure.jpeg
Madeon,Good Faith,spotify:album:6Lq1lrCfkpxKa4jCo5gKWr,good-faith.jpeg
Jungle,Loving in stereo,spotify:album:1hykVcbmenjAoG7wwoXmCV,loving-in-stereo.jpeg
Beach Boys,Pet sounds,spotify:album:6GphKx2QAPRoVGWE9D7ou8,pet-sounds.jpeg
Lorde,Melodrama,spotify:album:4oCGmYsAQOWt2ACWTpNUU6,melodrama.jpeg
Ball Park Music,Ball Park Music,spotify:album:5pXeIuNUX07w4QsZ2lJjO3,ball-park-music.jpeg
Ball Park Music,Happiness and Surrounding Suburbs,spotify:track:5Tp5zLJbNfCPHoSo9cDfvg,happyness-and-surrounding.jpeg
Alex Lahey,I love you like a brother,spotify:album:5PyPauobzmwT3iWtSjWNvK,i-love-you-like-a-brother.jpeg
Alex Lahey,Best of luck club,spotify:album:6C1WCneuDwNsJ5OH6drcUX,best-of-luck-club.jpeg
Triple J,Hitlist,spotify:playlist:7vFQNWXoblEJXpbnTuyz76,triple-j-hitlist.jpeg
Triple J,Unearthed,spotify:playlist:78d1cKN9xYtKialnOYkI92,triple-j-unearthed.jpeg
Bo Burnham,Inside,spotify:album:35qVMfUfBN6q2xzm9rZn5a,inside.jpeg
Sløtface,Try Not To Freak Out,spotify:album:2uvb21D8eYmpeqsOhHCcbI,try-not-to-freak-out.jpeg
Sløtface,Sorry for the late reply,spotify:album:3gAptAQaDholul0HZ1CLA6,sorry-for-the-late-reply.jpeg
Stand Atlantic,Pink Elephant,spotify:album:7mSFPsjZjTx8K1UmtDSQPu,pink-elephant.jpeg
Carpenter Brut,TRILOGY,spotify:album:0io5pe55YRCTVqEjwlOBdN,trilogy.jpeg
Carpenter Brut,Carpenterbrut live,spotify:album:6kJuATIGbPYxHmRoWCC5IB,carpenterbrutlive.jpeg
Chvrches,Screen Violence: Director’s Cut,spotify:album:4Sxf8rgE8ZXtmItoF7nAnM,screen-violence.jpeg
Chvrches,Love is Dead,spotify:album:5ouDsmJC0qFFup4qjwmQLM,love-is-dead.jpeg
Chvrches,The Bones Of What You Believe (Deluxe Edition),spotify:album:47jBLmC07pQ3sY1kvtRuv2,the-bones-of-what-you-believe.jpeg
Chvrches,Every Open Eye (Extended Edition),spotify:album:0rhLpqZq1dPIG3EUxLFIWG,every-open-eye.jpeg
Joji,Nectar,spotify:album:5EzDhyNZuO7kuaABHwbBKX,nectar.jpeg
Alex the Astronaut,The Theory of Absolutely Nothing,spotify:album:397TpQKMWu2NurMMm8nzzn,the-theory-of-absolutely-nocthing.jpeg
Alex the Astronaut,See you soon,spotify:album:4f3kRkpUqybJw8qwvqiqkW,see-you-soon.jpeg
Virtual Self,Virtual Self,spotify:album:7I3PH61aLVNVj4EVvU16WG,virtual-self.jpeg
Gareth Emery,1000 Reasons To Live,spotify:album:7biwstiL7MziiCafiYZvnt,1000-reasons-to-live.jpeg
King Gizzard & the Lizard Wizard,Nonagon Infinity,spotify:album:2SVSLmPgIn3kQ5inNYZ76a,nonagon-infinity.jpeg
Yours Truly,Afterglow,spotify:album:7zRtPyCWkswWIAcqO6Qjpy,afterglow.jpeg
The Wombats,Glitterbug,spotify:album:5eMwZy5R5qZB3v3lBumnFZ,glitterbug.jpeg
Queen,The Platinum Collection,spotify:album:63SYDOduS7UPFCbRo7g9cy,the-platinum-collection.jpeg
Arctic Monkeys,Whatever People Say I Am That's What I'm Not,spotify:album:50Zz8CkIhATKUlQMbHO3k1,whatever-people-say-i-am.jpeg
Arctic Monkeys,AM,spotify:album:6645HGh7ZOZSUTpqW9iYLR,am.jpeg
Arctic Monkeys,Favourite Worst Nightmare,spotify:album:1XkGORuUX2QGOEIL4EbJKm,favourite-worst-nightmare.jpeg
Courtney Barnett,Sometimes I Sit And Think And Sometimes I Just Sit,spotify:album:1F0II6fZbrtJf7D0meTP9J,sometimes-i-sit-and-think.jpeg
David Bowie,Legacy,spotify:album:5Pr1sAQ9i2unvVaEHnKIB5,legacy.jpeg
Lofi Girl,lofi hip hop beats,spotify:user:spotify:playlist:0vvXsWCC9xrXsKd4FyS8kM,lofi-hip-hop-beats.jpeg
Spotify,Discover Weekly,spotify:user:spotify:playlist:37i9dQZEVXcTmaHgivkon6,discover-weekly.jpeg
Spotify,Front Left,spotify:user:spotify:playlist:37i9dQZF1DX5WTH49Vcnqp,front-left.jpeg
Radiohead,OK Computer,spotify:album:6dVIqQ8qmQ5GBnJ9shOYGE,ok-computer.jpeg
Radiohead,In Rainbows,spotify:album:5vkqYmiPBYLaalcmjujWxK,in-rainbows.jpeg
Spotify,Modern Psychedelia,spotify:playlist:37i9dQZF1DX8gDIpdqp1XJ,modern-psychedelia.jpeg
Telle,Time Capsule,spotify:user:spotify:playlist:37i9dQZF1EuTFhT4Qq3qWM,telles-time.png
The Prodigy,The fat of the land,spotify:album:4fdgcEVMdJe0KVgupMNJAP,the-fat-of-the-land.png
Gorillaz,Plastic Beach,spotify:album:2dIGnmEIy1WZIcZCFSj6i8,plastic-beach.jpg
LCD soundsystem,This is happening,spotify:album:4hnqM0JK4CM1phwfq1Ldyz,this-is-happening.jpg
R.E.M,Automatic for the people,spotify:album:0BiNb8HYR4JvuxUa31Z58Q,automatic-for-the-people.jpg
Pendulum,Immersion,spotify:album:3XtEGVx9uh7J46nBzEc1VS,immersion.jpg
C418,Micecraft,spotify:album:3Gt7rOjcZQoHCfnKl5AkK7,minecraft.jpg
Artic Monkeys,Tranquiliy base hotel,spotify:album:0BkjGslMnD0dvJH9u1mjLF,tranquility-base-hotel-casino.png
Bon Iver,Blook bank,spotify:album:5MjC805qLtwgqXH1c0kpjK,blood-bank.jpg
Bangelise,Blade runner,spotify:album:6NkuCdMz5tGmHbOXAWbtCW,blade-runner.jpg
Joy Crookes,Skin,spotify:album:2FYQGKcsi3nrkdicraMw7,skin.jpg
Fatboy slim,You've Come a Long Way Baby,spotify:album:2ELLu16F9TTREQuU4OuAnN,you-ve-come-a-long-way-baby.jpg
The Stokes,Is this it,spotify:album:2yNaksHgeMQM9Quse463b5,is-this-it.jpg
The Stokes,The new abormal,spotify:album:2xkZV2Hl1Omi8rk2D7t5lN,the-new-abormal.jpg
Psychedelic Porn Crumpets,High Visceral,spotify:album:37i9dQZF1DZ06evO4ysioE,high-visceral.jpg
Volient Sofo,Hungry Ghost,spotify:album:7MGL9NDDFd6JdFUAcJ0GbZ,hungry-ghost.jpg
Boy & Bear,Limit of love,spotify:album:5IOotiQzNP366lAZxXM5J2,limit-of-love.jpg
The Wombats,The modern glitch,spotify:album:5ZXnAXE8WtRP4LvFUQHIu6,the-modern-glitch.jpg
Ghildish Gambino,Awaken my love,spotify:album:7caGY3YPOchIO8xLvTKWN4,awaken-my-love.jpg
Amy Winehouse,Back to black,spotify:album:1hEh8Hc9lBAFWUghHBsCel,back-to-black.jpg
Moby,Play,spotify:album:7yqSkf4TGPOHUtDKMVjhbD,play.jpg
Ratata,Classics,spotify:album:7cKqnavORKemYZ41wFtx5J,classics.jpg
Talking heads,Speaking in tongues,spotify:album:4sLCQxMRfn3gAHrBNZtbTH,speaking-in-tongues.jpg
Thundercat,Drunk,spotify:album:4anxEzh8xEKSPXKHGWiFue,drunk.jpg
Marvin Gaye,What's going on,spotify:album:1rfm091srlg2gIh9a2m92J,what-s-going-on.jpg
Phoebie Bridges,Punisher,spotify:album:6Pp6qGEywDdofgFC1oFbSH,phoebe-bridgers-punisher.jpg
Scott Bradlee's Postmodern Jukebox,This is Scott Bradlee's Postmodern Jukebox,spotify:user:spotify:playlist:37i9dQZF1DZ06evO3mw43S|shuffle,this-is-scott-bradlee-s-postmodern-jukebox.jpg
Sufjan Stevens,Illinois,spotify:album:1pOl0KEC1iQnA6F0XxV4To,illinois.jpg
Shrek,Shrek 2,spotify:user:spotify:playlist:5XRNgTLQukKLNQt6DgjtoQ,shrek.jpg
Roy,Memes,spotify:user:spotify:playlist:2KSBEEcCl9C5dALQClrw4v|shuffle,
Drake Shepard,Movie Instrumentals,spotify:user:spotify:playlist:2GRnPkyoDYJw7iLnCKXr2M|shuffle,
Spotify,10s Rock Anthems,spotify:user:spotify:playlist:37i9dQZF1DX99DRG9N39X3|shuffle,
